dates,ticker,variable,value
2001-06-29,JPY,px,0.008022462896109105
2001-06-29,JPY,ir_diff,-3.9225000000000003
2001-06-29,NOK,px,0.10720641523188748
2001-06-29,NOK,ir_diff,3.38
2001-06-29,NZD,px,0.4049
2001-06-29,NZD,ir_diff,1.8149999999999995
2001-06-29,SEK,px,0.0919937812203895
2001-06-29,SEK,ir_diff,0.13999999999999968
2001-07-31,AUD,px,0.5082
2001-07-31,AUD,ir_diff,1.17545
2001-07-31,CAD,px,0.6544502617801047
2001-07-31,CAD,ir_diff,0.6870799999999995
2001-07-31,CHF,px,0.5779678649867067
2001-07-31,CHF,ir_diff,-0.59958
2001-07-31,EUR,px,0.8736
2001-07-31,EUR,ir_diff,0.6037500000000002
2001-07-31,GBP,px,1.4248
2001-07-31,GBP,ir_diff,1.4576600000000002
2001-07-31,JPY,px,0.008000640051204096
2001-07-31,JPY,ir_diff,-3.75875
2001-07-31,NOK,px,0.10936611400323724
2001-07-31,NOK,ir_diff,3.57375
2001-07-31,NZD,px,0.4118
2001-07-31,NZD,ir_diff,1.98875
2001-07-31,SEK,px,0.09403622275300445
2001-07-31,SEK,ir_diff,0.6387499999999995
2001-08-31,AUD,px,0.5296
2001-08-31,AUD,ir_diff,1.3933
2001-08-31,CAD,px,0.6446621970087675
2001-08-31,CAD,ir_diff,0.50333
2001-08-31,CHF,px,0.6017571308220002
2001-08-31,CHF,ir_diff,-0.48
2001-08-31,EUR,px,0.9123
2001-08-31,EUR,ir_diff,0.7771299999999997
2001-08-31,GBP,px,1.4539
2001-08-31,GBP,ir_diff,1.57625
2001-08-31,JPY,px,0.008418217021634818
2001-08-31,JPY,ir_diff,-3.58437
2001-08-31,NOK,px,0.1129994576026035
2001-08-31,NOK,ir_diff,3.6799999999999997
2001-08-31,NZD,px,0.4388
2001-08-31,NZD,ir_diff,2.1450000000000005
2001-08-31,SEK,px,0.09586532838668238
2001-08-31,SEK,ir_diff,0.75
2001-09-28,AUD,px,0.4913
2001-09-28,AUD,ir_diff,1.3675000000000002
2001-09-28,CAD,px,0.6332320162107397
2001-09-28,CAD,ir_diff,0.48750000000000027
2001-09-28,CHF,px,0.6171315724512466
2001-09-28,CHF,ir_diff,-0.3058299999999998
2001-09-28,EUR,px,0.9114
2001-09-28,EUR,ir_diff,0.7897500000000002
2001-09-28,GBP,px,1.4744
2001-09-28,GBP,ir_diff,1.47125
2001-09-28,JPY,px,0.008364001338240215
2001-09-28,JPY,ir_diff,-3.3931199999999997
2001-09-28,NOK,px,0.11267986523488117
2001-09-28,NOK,ir_diff,3.7975
2001-09-28,NZD,px,0.4064
2001-09-28,NZD,ir_diff,2.3725
2001-09-28,SEK,px,0.09352699656755922
2001-09-28,SEK,ir_diff,0.9155000000000002
2001-10-31,AUD,px,0.5039
2001-10-31,AUD,ir_diff,1.79
2001-10-31,CAD,px,0.6299609424215699
2001-10-31,CAD,ir_diff,0.61667
2001-10-31,CHF,px,0.6133464180569185
2001-10-31,CHF,ir_diff,-0.30667
2001-10-31,EUR,px,0.9023
2001-10-31,EUR,ir_diff,1.06263
2001-10-31,GBP,px,1.457
2001-10-31,GBP,ir_diff,1.93656
2001-10-31,JPY,px,0.008170602173380177
2001-10-31,JPY,ir_diff,-2.505
2001-10-31,NOK,px,0.11271161605915106
2001-10-31,NOK,ir_diff,4.47
2001-10-31,NZD,px,0.4108
2001-10-31,NZD,ir_diff,2.705
